time,frequency,confidence
19.420,152.597,0.885
19.440,149.687,0.880
19.460,149.687,0.868
19.480,146.832,0.875
19.500,146.832,0.886
19.520,146.832,0.892
19.540,144.032,0.892
19.560,144.032,0.888
19.580,146.832,0.881
19.600,146.832,0.870
19.620,149.687,0.856
19.640,149.687,0.846
19.660,149.687,0.839
19.680,149.687,0.821
19.700,149.687,0.791
19.720,149.687,0.764
19.740,149.687,0.742
19.760,152.597,0.729
19.780,158.586,0.763
19.800,158.588,0.796
19.820,158.588,0.824
19.840,158.588,0.843
19.860,158.588,0.853
19.880,158.588,0.859
19.900,155.563,0.859
19.920,155.563,0.855
19.940,153.106,0.846
19.960,144.032,0.831
19.980,138.591,0.830
20.000,141.286,0.829
20.020,146.832,0.829
20.040,161.671,0.844
20.060,164.814,0.851
20.080,161.671,0.851
20.100,158.588,0.841
20.120,155.563,0.842
20.140,155.563,0.863
20.160,152.597,0.879
20.180,152.597,0.885
20.200,152.597,0.883
20.220,152.597,0.874
20.240,152.597,0.858
20.260,155.563,0.858
20.280,155.563,0.856
20.300,155.563,0.846
20.320,155.563,0.828
20.340,155.563,0.802
20.360,155.563,0.769
20.380,152.597,0.730
20.400,158.598,0.705
20.420,181.469,0.765
20.440,181.469,0.809
20.460,181.469,0.839
20.480,181.469,0.857
20.500,178.009,0.863
20.520,178.009,0.860
20.540,174.614,0.854
20.560,171.284,0.838
20.580,171.284,0.810
20.600,168.018,0.773
20.620,167.992,0.735
20.640,171.284,0.706
20.660,181.391,0.689
20.680,177.968,0.747
20.700,181.469,0.786
20.720,181.469,0.822
20.740,181.469,0.850
20.760,178.009,0.871
20.780,174.614,0.884
20.800,174.614,0.890
20.820,178.009,0.887
20.840,178.009,0.873
20.860,181.469,0.886
20.880,181.469,0.900
20.900,181.469,0.906
20.920,181.469,0.905
20.940,181.469,0.902
20.960,181.469,0.901
20.980,181.475,0.901
21.000,184.977,0.901
21.020,181.469,0.901
21.040,181.469,0.899
21.060,181.469,0.894
21.080,181.469,0.887
21.100,178.009,0.880
21.120,178.009,0.874
21.140,181.469,0.870
21.160,181.469,0.867
21.180,181.469,0.862
21.200,182.043,0.855
21.220,184.979,0.846
21.240,184.997,0.834
21.260,181.469,0.820
21.280,181.469,0.801
21.300,181.469,0.774
21.320,181.469,0.738
21.340,178.009,0.690
21.360,181.469,0.627
21.380,174.614,0.552
21.400,171.284,0.461
21.420,171.284,0.361
21.440,168.020,0.309
21.460,329.628,0.293
21.480,336.036,0.330
21.500,342.569,0.411
21.520,354.262,0.461
21.540,336.073,0.496
21.560,349.228,0.515
21.580,349.228,0.511
21.600,349.228,0.487
21.620,181.341,0.443
21.640,181.470,0.389
21.660,173.850,0.396
21.680,178.009,0.409
21.700,171.287,0.389
21.720,174.614,0.370
21.740,174.608,0.386
21.760,181.469,0.326
21.780,90.735,0.285
21.800,311.127,0.258
21.820,90.735,0.265
21.840,164.814,0.269
21.860,164.814,0.272
21.880,164.814,0.272
